EID,Date,ot_type,hours,nsa_authorize,ot_authorize,ot_status
103109089,2026-05-01,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103101215,2025-07-02,OT2.7X,9.0,"",Authorized,(9.0 hrs - Authorized)
103060462,2025-09-02,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
102029874,2026-01-08,OT1.5X,4.0,Authorized,Authorized,(4.0 hrs - Authorized)
103305165,2026-01-01,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
102855952,2026-02-16,OT3.9X,8.0,"",Authorized,(8.0 hrs - Authorized)
103129415,2025-05-01,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103121098,2026-03-02,OT2.0X,3.0,"",Authorized,(3.0 hrs - Authorized)
103082121,2025-05-01,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103103196,2026-02-17,OT3.0X,7.0,"",Authorized,(7.0 hrs - Authorized)
102370804,2026-02-19,OT3.9X,8.0,"",Authorized,(8.0 hrs - Authorized)
103305154,2026-01-17,OT1.5X,3.0,Authorized,Authorized,(3.0 hrs - Authorized)
102477422,2025-09-02,OT3.9X,8.0,"",Authorized,(8.0 hrs - Authorized)
103171109,2025-04-07,OT3.9X,8.0,"",Authorized,(8.0 hrs - Authorized)
103548829,2026-04-30,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103293732,2026-01-16,OT1.5X,1.5,"",Authorized,(1.5 hrs - Authorized)
103121098,2026-01-07,OT2.0X,6.0,"",Authorized,(6.0 hrs - Authorized)
102477422,2025-04-07,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
102173384,2025-04-07,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103109136,2026-05-06,OT1.5X,1.0,Authorized,Authorized,(1.0 hrs - Authorized)
103173195,2026-03-26,OT2.7X,4.5,"",Authorized,(4.5 hrs - Authorized)
102482237,2026-04-30,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
102871040,2026-01-06,OT1.5X,4.0,Authorized,Authorized,(4.0 hrs - Authorized)
103082161,2026-02-16,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103305165,2026-02-17,OT3.9X,8.0,"",Authorized,(8.0 hrs - Authorized)
103132424,2026-03-03,OT2.0X,2.5,"",Authorized,(2.5 hrs - Authorized)
102456993,2026-04-30,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103082121,2026-01-01,OT3.0X,9.0,"",Authorized,(9.0 hrs - Authorized)
103169795,2025-04-07,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103136099,2025-05-01,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103171103,2026-03-10,OT1.5X,4.0,Authorized,Authorized,(4.0 hrs - Authorized)
102507584,2026-01-06,OT2.0X,2.0,Authorized,Authorized,(2.0 hrs - Authorized)
102484482,2026-01-05,OT1.5X,4.0,Authorized,Authorized,(4.0 hrs - Authorized)
103548832,2026-05-01,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103294755,2026-02-16,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103109357,2026-01-17,OT1.5X,0.5,Authorized,Authorized,(0.5 hrs - Authorized)
102879799,2026-02-18,OT3.9X,8.0,"",Authorized,(8.0 hrs - Authorized)
103550261,2026-04-26,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
102466917,2025-04-30,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103109339,2026-05-01,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103293766,2026-04-26,OT3.9X,8.0,"",Authorized,(8.0 hrs - Authorized)
103294755,2026-05-01,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103109339,2026-01-01,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103296160,2026-02-20,OT3.9X,8.0,"",Authorized,(8.0 hrs - Authorized)
103105143,2026-01-21,OT2.1X,2.5,Authorized,Authorized,(2.5 hrs - Authorized)
102821757,2026-02-18,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103293732,2026-01-09,OT1.5X,1.0,Authorized,Authorized,(1.0 hrs - Authorized)
103548839,2026-04-30,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103103198,2026-01-03,OT1.5X,1.5,"",Authorized,(1.5 hrs - Authorized)
103110013,2026-04-26,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103060453,2026-01-09,OT1.5X,0.5,Authorized,Authorized,(0.5 hrs - Authorized)
103082121,2026-05-10,OT2.0X,0.5,Authorized,Authorized,(0.5 hrs - Authorized)
102871040,2026-02-03,OT2.0X,3.5,Authorized,Authorized,(3.5 hrs - Authorized)
102482237,2025-05-01,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103103196,2026-02-19,OT3.0X,7.0,"",Authorized,(7.0 hrs - Authorized)
103109339,2026-01-06,OT2.7X,6.5,"",Authorized,(6.5 hrs - Authorized)
103109136,2025-05-01,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103116487,2025-04-07,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103109343,2026-04-03,OT2.0X,5.0,"",Authorized,(5.0 hrs - Authorized)
103060453,2026-02-20,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103060453,2026-02-16,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103109343,2026-03-04,OT2.1X,3.0,Authorized,Authorized,(3.0 hrs - Authorized)
102830326,2025-05-01,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
102837399,2025-07-05,OT2.0X,1.0,"",Authorized,(1.0 hrs - Authorized)
102484482,2026-02-03,OT1.5X,4.0,Authorized,Authorized,(4.0 hrs - Authorized)
102477510,2026-02-18,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
102211178,2025-05-01,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103082113,2026-01-18,OT2.0X,6.0,"",Authorized,(6.0 hrs - Authorized)
102343359,2025-09-02,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103139871,2026-03-12,OT2.0X,4.5,"",Authorized,(4.5 hrs - Authorized)
103145248,2025-09-01,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103139871,2026-03-18,OT2.0X,7.5,"",Authorized,(7.5 hrs - Authorized)
103109136,2026-04-30,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103127944,2025-04-30,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103145155,2025-04-07,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
102850147,2025-04-07,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
102173384,2025-04-30,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
102517346,2026-01-01,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103082113,2026-01-11,OT1.5X,1.0,"",Authorized,(1.0 hrs - Authorized)
102821757,2026-02-16,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
102502737,2025-09-01,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
102369579,2026-01-15,OT2.0X,4.0,Authorized,Authorized,(4.0 hrs - Authorized)
103082113,2026-01-19,OT2.0X,1.0,"",Authorized,(1.0 hrs - Authorized)
103548811,2026-05-01,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103110013,2026-01-01,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103130519,2026-01-04,OT1.5X,3.0,Authorized,Authorized,(3.0 hrs - Authorized)
103109339,2026-01-03,OT1.5X,2.0,Authorized,Authorized,(2.0 hrs - Authorized)
103550263,2026-04-26,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
102456993,2025-09-01,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103082121,2026-02-16,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103126016,2025-05-01,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103121098,2026-01-01,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103304875,2026-04-26,OT3.0X,6.0,"",Authorized,(6.0 hrs - Authorized)
103092092,2026-02-18,OT3.9X,8.0,"",Authorized,(8.0 hrs - Authorized)
103139871,2026-05-05,OT2.1X,4.0,Authorized,Authorized,(4.0 hrs - Authorized)
103139871,2025-09-02,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
102830253,2026-01-01,OT3.9X,8.0,"",Authorized,(8.0 hrs - Authorized)
103109128,2025-04-30,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103293766,2026-02-17,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
103082112,2025-04-30,OT3.9X,8.0,"",Authorized,(8.0 hrs - Authorized)
103082112,2026-01-23,OT2.1X,3.0,"",Authorized,(3.0 hrs - Authorized)
102369579,2026-02-20,OT3.0X,8.0,"",Authorized,(8.0 hrs - Authorized)
